Site	Street Number	Prefix	Street Name	Suffix	Site City	Site State	Site Zip5	Initial Meter Set Date
890990386	8387	E	LONE MOUNTAIN	RD	SCOTTSDALE	ARIZONA	85266	1/18/2012 12:00:00 AM
891022380	13371	W	GRAND	AVE	SURPRISE	ARIZONA	85374	8/24/2011 12:00:00 AM
891117286	21036	N	112	ST	SCOTTSDALE	ARIZONA	85255	6/23/2011 12:00:00 AM
891190381	12501	N	128	ST	SCOTTSDALE	ARIZONA	85259	10/27/2011 12:00:00 AM
891191389	1621	W	MARICOPA	ST	PHOENIX	ARIZONA	85007	8/30/2011 12:00:00 AM
891197282	16813	W	HAMMOND	ST	GOODYEAR	ARIZONA	85338	8/2/2011 12:00:00 AM
891291384	1623	W	MARICOPA	ST	PHOENIX	ARIZONA	85007	8/30/2011 12:00:00 AM
891427281	18650	N	THOMPSON PEAK	PKWY	SCOTTSDALE	ARIZONA	85255	1/10/2011 12:00:00 AM
891652383	3700	 	COUNTY 23	ST	SAN LUIS	ARIZONA	85349	12/15/2011 12:00:00 AM
891676287	2720	N	164	AVE	GOODYEAR	ARIZONA	85395	6/9/2011 12:00:00 AM
891762382	959	S	PALOMINO	WAY	PAYSON	ARIZONA	85541	3/27/2012 12:00:00 AM
891928281	2280	N	ALSAP	DR	BUCKEYE	ARIZONA	85396	3/14/2012 12:00:00 AM
891931385	18117	W	TECOMA	RD	GOODYEAR	ARIZONA	85338	10/26/2011 12:00:00 AM
891932386	3109	S	SALVESTRIN	LN	FLAGSTAFF	ARIZONA	86001	11/4/2011 12:00:00 AM
891952388	6021	 	INDEPENDENCE	LN	RIMROCK	ARIZONA	86335	3/26/2012 12:00:00 AM
892060382	29587	N	128	LN	PEORIA	ARIZONA	85383	9/2/2011 12:00:00 AM
892128284	18196	W	STINSON	DR	SURPRISE	ARIZONA	85374	2/11/2011 12:00:00 AM
892262389	615	E	WEBER	DR	TEMPE	ARIZONA	85281	3/13/2012 12:00:00 AM
892357283	20750	N	87	ST	SCOTTSDALE	ARIZONA	85255	11/2/2010 12:00:00 AM
892371381	3632	W	PINNACLE PEAK	RD	GLENDALE	ARIZONA	85310	3/22/2011 12:00:00 AM
892451388	38230	N	LONE MOUNTAIN	RD	SCOTTSDALE	ARIZONA	85262	2/3/2012 12:00:00 AM
892851387	997	E	PINE KNOLL	DR	FLAGSTAFF	ARIZONA	86001	3/30/2011 12:00:00 AM
892901381	35388	N	PIMA	RD	SCOTTSDALE	ARIZONA	85266	2/8/2012 12:00:00 AM
893052386	1196	 	NORTHRIDGE	DR	PRESCOTT	ARIZONA	86301	12/19/2011 12:00:00 AM
893109286	9575	W	QUAIL	AVE	PEORIA	ARIZONA	85382	2/2/2011 12:00:00 AM
893232387	3330	E	VAN BUREN	ST	PHOENIX	ARIZONA	85008	11/2/2011 12:00:00 AM
893335285	3140	N	GLASSFORD HILL	RD	PRESCOTT VALLEY	ARIZONA	86314	2/25/2011 12:00:00 AM
893409285	18436	W	SHASTA	ST	GOODYEAR	ARIZONA	85338	5/23/2011 12:00:00 AM
893418286	6202	E	46	LN	YUMA	ARIZONA	85365	2/10/2011 12:00:00 AM
