"BldrId"	"SubCode"	"Sub"	"Active"	"MstrPlan"	"SubLocation"	"SubLocCity"	"SubLocZip"	"LotsSigned"	"LotsPaid"	"ContractDate"	"ExpDate"	"AddendumDate"	"AddendumLots"	"AmmendedDate"	"AmmendedLots"	"Rater"	"SolarCommunity"	"Parcel"	"SubComment"
"DAV01"	"DAVSER"	"INACTIVE-Serenity at Estrella"	0	"Estrella Mountain Ranch"	"CALISTOGA & ESTRELLA PKWY"	"GOODYEAR"		84	9	10/1/07 0:00:00	10/1/09 0:00:00				0	"DRW"	0	"9.3"
"PUL01"	"DMRALL"	"INACTIVE-Norterra DW-Allegro (Series) G8000'S"	0	"Fireside at Norterra"	"NORTERRA PKWY & CASINO AVE"	"PHOENIX"	"85085"	38	21	11/1/07 0:00:00	11/1/09 0:00:00				0	"EFL"	0	"dba Del Webb"
"PUL01"	"DMRALL1"	"Norterra DW/allegro/G8000s"	1	"Fireside at Norterra"	"Norterra Pkwy & Casino Ave"	"Phoenix"	"85085"	18	2	11/1/09 0:00:00	11/1/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMRART"	"INACTIVE-Norterra Artisan (Ranch Cluster) 6-pack"	0	"Fireside at Norterra"	"NORTERRA PKWY & CASINO AVE"	"PHOENIX"	"85085"	21	21	11/1/07 0:00:00	11/1/09 0:00:00				0	"EFL"	0		"SOLD OUT"
"PUL01"	"DMRMAE"	"Norterra Maestro - Pulte 4000 Vista"	1	"Fireside at Norterra"	"Norterra Pkwy & Casino Ave"	"Phoenix"	"85085"	121	17	6/15/10 0:00:00	11/1/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMRMAJ70"	"Fireside @ Norterra ~ Majesty 5500"	1	"Fireside at Norterra"	"Dynamite Mtn Ranch & Valley Vista"	"Phoenix"	"85085"	88	4	10/1/11 0:00:00	12/31/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMRMON"	"INACTIVE-Norterra DW-Montage (Series) 4500'S"	0	"Fireside at Norterra"	"NORTERRA PKWY & CASINO AVE"	"PHOENIX"	"85085"	11	1	11/1/07 0:00:00	11/1/09 0:00:00				0	"EFL"	0	"dba Del Webb"
"PUL01"	"DMRMON1"	"INACTIVE-Norterra - DW/montage/4500s"	0	"Fireside at Norterra"	"Norterra Pkwy & Casino Ave"	"Phoenix"	"85085"	10	0	11/1/09 0:00:00	11/1/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMRMON70"	"Fireside At Norterra Desert Ridge/4500s/DW/montage"	1		"40th St. & Deer Valley Rd."	"Phoenix"	"85050"	77	38	1/1/10 0:00:00	12/31/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMRMOS"	"INACTIVE-Norterra Mosaic (Series 1) 3500'S"	0	"Fireside at Norterra"	"NORTERRA PKWY & CASINO AVE"	"PHOENIX"	"85085"	31	44	11/1/07 0:00:00	11/1/09 0:00:00				0	"EFL"	0		"SOLD OUT"
"PUL01"	"DMROVR"	"INACTIVE-Norterra FC 3500 Overlook"	0	"Fireside at Norterra"	"W Casino Ave  & N Melvern Trail"	"Phoenix"	"85085"	84	4	11/1/07 0:00:00	11/1/09 0:00:00				0	"EFL"	0
"PUL01"	"DMROVR1"	"INACTIVE-Norterra Overlook/FC 3500s"	0	"Fireside at Norterra"	"Norterra Pkwy & Casino Ave."	"Phoenix"	"85085"	80	26	11/1/09 0:00:00	11/1/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMROVR70"	"Fireside Norterra/dynamite Mountain Ranch/FC 3500"	1		"Norterra Pkwy & Casino Ave."	"Phoenix"	"85085"	141	24	11/1/09 0:00:00	12/31/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMRPRI"	"INACTIVE-Norterra DW-Primavera (Series) 5500'S"	0	"Fireside at Norterra"	"NORTERRA PKWY & CASINO AVE"	"PHOENIX"	"85085"	106	69	11/1/07 0:00:00	11/1/09 0:00:00				0	"EFL"	0	"dba Del Webb"
"PUL01"	"DMRPRI1"	"INACTIVE-NorterraDW/primavera/5500s"	0	"Fireside at Norterra"	"Norterra Pkwy & Casino Ave."	"Phoenix"	"85085"	47	17	11/1/09 0:00:00	11/1/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMRPRI70"	"Fireside @ Desert Ridge - 5500s/DW/primavera"	1		"40th St. & Deer Valley Rd."	"Phoenix"	"85050"	32	9	1/1/10 0:00:00	12/31/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMRTEA"	"INACTIVE-Norterra Teavana  (Ranch Triplex)"	0	"Fireside at Norterra"	"NORTERRA PKWY & CASINO AVE"	"PHOENIX"	"85085"	33	38	11/1/07 0:00:00	11/1/09 0:00:00				0	"EFL"	0		"SOLD OUT"
"PUL01"	"DMRVER"	"INACTIVE-Norterra Verano (Ranch Stacked Flats)"	0	"Fireside at Norterra"	"NORTERRA PKWY & CASINO AVE"	"PHOENIX"	"85085"	12	9	11/1/07 0:00:00	11/1/09 0:00:00				0	"EFL"	0		"SOLD OUT"
"PUL01"	"DMRVIS"	"INACTIVE - Norterra Vista (First Choice 4000's)"	0	"Fireside at Norterra"	"Norterra Pkwy & Casino Ave."	"Phoenix"	"85085"	86	31	9/19/08 0:00:00	11/1/09 0:00:00				0	"EFL"	0
"PUL01"	"DMRVIS1"	"INACTIVE-Norterra - Vista/FC 4000"	0	"Fireside at Norterra"	"Norterra Pkwy & Casino Ave"	"Phoenix"	"85085"	61	16	11/1/09 0:00:00	11/1/11 0:00:00				0	"EFL"	0	"NA"	" "
"PUL01"	"DMRVIS70"	"Fireside At Norterra/Vista/FC 4000"	1	"Dynamite Mountain Ranch"	"Norterra Pkwy & Casino Ave."	"Phoenix"	"85085"	95	21	11/1/09 0:00:00	12/31/11 0:00:00				0	"EFL"	0	"NA"	" "
"DOR01"	"DORBRO70"	"Brookside/lakeside At Prescott Lakes"	1		"Brookside/lakeside At Prescott Lakes"	"Prescott"	"86301"	75	14	4/1/11 0:00:00	12/31/11 0:00:00				0	"E3"	0	"NA"	" "
"DOU01"	"DOUPRE"	"INACTIVE-Presidio in the Pines"	0		"Woody Mountain Road & Route 66"	"Flagstaff"	"86001"	184	0	8/1/07 0:00:00	8/1/09 0:00:00				0	"E3"	0
"DRHOR"	"DRHSONV"	"Sonoran Vista"	1		"Watson & Broadway"	"Buckeye"	"85326"	167	7	9/1/11 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	0	"NA"	" "
"DRHOR"	"DRHTUCR"	"Tuscany Ranch"	1		"67th Ave & Happy Valley Rd."	"Phoenix"	"85310"	14	0	11/1/11 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	0	"NA"	" "
"PUL02"	"DWCLAS70SR"	"Sun City Festival DW - Classics"	1		"Sun Valley Pkwy & Canyon Springs Blvd."	"Buckeye"	"85396"	71	37	3/1/08 0:00:00	12/31/11 0:00:00				0	"EFL"	1	"NA"	" "
"PUL02"	"DWCOTT70SR"	"Sun City Festival DW - Cottages"	1		"Sun Valley Pkwy & Canyon Springs Blvd"	"Buckeye"	"85396"	44	6	3/1/08 0:00:00	3/1/10 0:00:00				0	"EFL"	1	"NA"	" "
"PUL02"	"DWESTA70SR"	"Sun City Festival DW - Estates"	1		"Sun Valley Pkwy & Canyon Springs Blvd"	"Buckeye"	"85396"	37	4	3/1/08 0:00:00	12/31/11 0:00:00				0	"EFL"	1	"NA"	" "
"PUL02"	"DWHOLI70SR"	"Sun City Festival DW - Holiday"	1		"Sun Valley Pkwy & Canyon Springs Blvd"	"Buckeye"		33	10	3/1/08 0:00:00	12/31/11 0:00:00				0	"EFL"	1	"NA"	" "
"PUL02"	"DWPREM70SR"	"Sun City Festival DW - Premiers"	1		"Sun Valley Pkwy & Canyon Springs Blvd"	"Buckeye"	"85396"	105	24	3/1/08 0:00:00	12/31/11 0:00:00				0	"EFL"	1	"NA"	" "
"EGS01"	"EGS01"	"INACTIVE-1 acre lots"	0		"Hazen Rd. & Hwy 85"	"Buckeye"	"85326"	7	0	5/21/08 0:00:00	5/21/10 0:00:00				0	"DRW"	0		"INACTIVE"
"ELI01"	"ELISUN"	"INACTIVE-Sundero"	0		"117 Avenue & Pinnacle Peak"	"Sun City"	"85375"	118	37	1/1/07 0:00:00	1/1/10 0:00:00				0	"DRW"	0		"INACTIVE"
"ELL01"	"ELLARA"	"INACTIVE-Araby Crossing"	0		"Crossing Avenue"	"Yuma"	"85365"	152	0	9/1/10 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	0	"NA"	" "
"ELL01"	"ELLEST"	"Estrella Unit 3"	1		"County 10th"	"Yuma"	"85367"	5	4	9/1/10 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	0	"NA"	" "
"ELL01"	"ELLESTSR"	"Estrella Unit #3 - Solar Ready"	1		"County 10th"	"Yuma"	"85367"	17	9	9/1/10 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	1	"NA"	" "
"ELL01"	"ELLESTSR70"	"Estrella Unit # 3"	1		"County 10th"	"Yuma"	"85367"	15	3	7/1/11 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	0	"NA"	" "
"ELL01"	"ELLSEE70SR"	"Scottsdale East Estates"	1		"Scottsdale Dr. & 34th Pl."	"Yuma"	"85367"	88	3	9/1/11 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	1	"NA"	" "
"EMP01"	"EMPELD"	"INACTIVE-Mt. Elden Villas"	0			"Flagstaff"	"86001"	28	27	7/1/06 0:00:00	12/31/07 0:00:00				0	"E3"	0		"CLOSED OUT"
"EMP01"	"EMPFM3"	"INACTIVE-Flagstaff Meadows III"	0		"Shadow Mountain & Bellemont"	"Flagstaff"		261	0	10/1/07 0:00:00	12/31/07 0:00:00				0	"E3"	0		"CLOSED OUT"
"EMP01"	"EMPPIN"	"INACTIVE-Pinnacle Pines"	0			"Flagstaff"	"86001"	206	42	7/1/06 0:00:00	12/31/07 0:00:00				0	"E3"	0		"PENDING BANKRUPTCY"
"EMP01"	"EMPRET"	"INACTIVE-Retreat III"	0			"Flagstaff"	"86001"	57	44	7/1/06 0:00:00	12/31/07 0:00:00				0	"E3"	0		"PENDING BANKRUPTCY"
"ERI01"	"ERICUS"	"INACTIVE-AZ Custom Homes"	0			"Prescott"		8	0	8/1/07 0:00:00	8/1/09 0:00:00				0	"E3"	0		"INACTIVE"
"HAB02"	"FLAG01"	"Flagstaff division"	1		"Custom"	"Flagstaff"	"86004"	5	3	1/1/09 0:00:00	1/1/11 0:00:00				0	"E3"	0
"FOR01"	"FORCUS70"	"Custom"	1		"To Be Provided"	"Prescott"	"86305"	5	2	4/1/11 0:00:00	12/31/11 0:00:00				0	"E3"	0	"NA"	" "
"HAB03"	"HABCUS"	"Prescott area"	1		"various"	"Prescott"	"86301"	15	5	7/1/09 0:00:00	7/1/11 0:00:00				0	"E3"	0
"HAB01"	"HABPHX"	"Custom"	1		"Tbd"	"Tbd"		35	5	6/1/10 0:00:00	12/31/11 0:00:00				0	"Energy Inspectors"	0	"NA"	" "
