Brand Name,Outdoor Model Number,Indoor Model Number,"Capacity 17F (kBtuh)","Capacity 47F (kBtuh)",HSPF,"Cooling Capacity (kBtuh)",SEER,Motor HP,Ventilation Fan Watts
Luxaire,TH16B3621,CF/CM36B+ME12BN21+TXV,22.2,35,9.5,34,16.25,-,-
Maratherm,NXH530GKA**,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Maratherm,NXH530GKA*,FXM4X30**AL,17,28.2,8.5,28.4,15,-,-
Midea,38MAQB18R--3,40MBCQ18---3,12,18,10.5,16,20,-,-
Midea,38MAQB18R--3,40MBFQ18---3,13.4,18,10.6,17,19.9,-,-
Midea,38MAQB18R--3,DHMSHAQ18XA3,10.8,18,10.3,17,20,-,-
Midea,38MAQB18R,40MBDQ18,13.4,19,11,16.5,20,-,-
Midea,38MBRBQ48AA3,40MBAAQ48XA3,36,55,9.5,48,16,-,-
Midea,38MGRQ24C,-,17.2,24,10.3,24,23,-,-
Midea,38MGRQ24C,-,17.6,24,10,24,21,-,-
Midea,38MGRQ30D--3,Ducted,23,30,10,30,21,-,-
Midea,38MGRQ30D--3,Mixed Ducted & Non-Ducted,20.2,29,10,30,22.4,-,-
Midea,38MGRQ30D--3,Non-Ducted,17.4,28,10,30,23.8,-,-
Midea,38MGRQ36D--3,Ducted,24.6,37,11,36,19,-,-
Midea,38MGRQ36D--3,Non-Ducted,23.2,36,10.5,36,21.5,-,-
Midea,38MHRBQ12AA3,40MHHQ12---3,7.3,12,9.6,12,19.8,-,-
Midea,DLCLRAH36AAK,DLFLCAH36XAK,25.2,38,10.5,36,17.5,-,-
Midea,DLCLRAH36AAK,DLFLDAH36XAK,27.6,40,11.5,36,16.5,-,-
Midea,DLCLRAH36AAK,DLFLFAH36XAK,25.4,38,10,36,16,-,-
Mitsubishi,MUZ-D30NA,MSZ-D30NA,20.8,32.6,8.2,30.6,14.5,-,-
Mitsubishi,MUZ-FH06NAH,MSZ-FH06NA**,5.9,8.7,12.5,6,33.1,-,-
Mitsubishi,MUZ-FH06NA,MSZ-FH06NA**,5.9,8.7,13.5,6,33.1,-,-
Mitsubishi,MUZ-FH09NA,MSZ-FH09NA**,6.7,10.9,12.5,9,30.5,-,-
Mitsubishi,MUZ-FH09NA,MSZ-FH09NA,6.7,10.9,13.5,9,30.5,-,-
Mitsubishi,MUZ-FH12NAH,MSZ-FH12NA**,8.1,13.6,11.5,12,26.1,-,-
Mitsubishi,MUZ-FH12NA,MSZ-FH12NA,8.1,13.6,12.5,12,26.1,-,-
Mitsubishi,MUZ-FH15NA,MSZ-FH15NA**,11,18,11,15,22,-,-
Mitsubishi,MUZ-FH15NA,MSZ-FH15NA,11,18,12,15,22,-,-
Mitsubishi,MUZ-GL09NAH***,MSZ-GL09NA***,6.7,10.9,11.8,9,24.6,-,-
Mitsubishi,MUZ-GL09NAH-U1,MSZ-GL09NA-U1,6.7,10.9,11.8,9,24.6,-,-
Mitsubishi,MUZ-GL09NAH-U8,MSZ-GL09NA-U1,7,10.9,12.8,9,24.6,-,-
Mitsubishi,MUZ-GL09NA***,MSZ-GL09NA***,6.7,10.9,12.8,9,24.6,-,-
Mitsubishi,MUZ-GL09NA-U1,MSZ-GL09NA-U1,6.7,10.9,12.8,9,24.6,-,-
Mitsubishi,MUZ-GL09NA-U8,MSZ-GL09NA-U1,7,10.9,12.8,9,24.6,-,-
Mitsubishi,MUZ-GL12NAH***,MSZ-GL12NA***,9.2,14.4,11.5,12,23.1,-,-
Mitsubishi,MUZ-GL12NAH-U1,MSZ-GL12NA-U1,9.2,14.4,11.5,12,23.1,-,-
Mitsubishi,MUZ-GL12NA***,MSZ-GL12NA***,9.2,14.4,12.5,12,23.1,-,-
Mitsubishi,MUZ-GL12NA-U1,MSZ-GL12NA-U1,9.2,14.4,12.5,12,23.1,-,-
Mitsubishi,MUZ-GL15NAH***,MSZ-GL15NA***,12.1,18,10.8,14,21.6,-,-
Mitsubishi,MUZ-GL15NAH-U1,MSZ-GL15NA-U1,12.1,18,10.8,14,21.6,-,-
Mitsubishi,MUZ-GL15NA***,MSZ-GL15NA***,12.1,18,11.7,14,21.6,-,-
Mitsubishi,MUZ-GL15NA***,NAXWST15A112A*,12.1,18,11.7,14,21.6,-,-
Mitsubishi,MUZ-GL15NA***,NTXWST15A112A*,12.1,18,11.7,14,21.6,-,-
Mitsubishi,MUZ-GL15NA-U1,MSZ-GL15NA-U1,12.1,18,11.7,14,21.6,-,-
Mitsubishi,MUZ-GL18NAH-U1,MSZ-GL18NA-U1,13.8,21.6,10.2,18,20.5,-,-
Mitsubishi,MUZ-GL18NA,MSZ-GL18NA,13.8,21.6,11.2,18,20.5,-,-
Mitsubishi,MUZ-GL24NA-U2,MSZ-GL24NA,16,27.6,10,22.4,20.5,-,-
Mitsubishi,MUZ-HM12NA-U1,MSZ-HM12NA-U1,7.6,12.2,10,12,18,-,-
